id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
20976,35282,CrossCode,NULL,2018-09-20 00:00:00.000,16,1,81.1250,8,97.4279,49
69403,27034,Linelight,NULL,2017-01-30 00:00:00.000,5,NULL,90.4000,8,97.3464,13
195594,119402,The Witcher 3: Wild Hunt - Complete Edition,"The Witcher 3: Wild Hunt concludes the story of the witcher Geralt of Rivia, the series' protagonist, whose story to date has been covered in the previous installments. Geralt's new mission comes in dark times as the mysterious and otherworldly army known as the Wild Hunt invades the Northern Kingdoms, leaving only blood soaked earth and fiery ruin in its wake; and it seems the Witcher is the key to stopping their cataclysmic rampage.",2016-08-29 00:00:00.000,30,2,87.8750,8,97.3006,55
92500,120710,The Henry Stickmin Collection,NULL,2020-08-07 00:00:00.000,5,NULL,NULL,NULL,97.2471,31
164190,96439,Venture Kid,NULL,2016-01-13 00:00:00.000,NULL,NULL,0.0000,1,97.0000,1
112973,42931,Bloodborne: Game Of The Year Edition,NULL,2015-11-27 00:00:00.000,20,NULL,NULL,NULL,96.9785,67
3435,12329,Fate/hollow ataraxia,"The plot of Fate/hollow ataraxia is based half a year after the events of Fate/stay night. Like its preceding counterpart, the story is set in Fuyuki City. Bazett Fraga McRemitz, a member of the Mages' Association and a master in the Fifth Holy Grail War, wakes on the fourth day of the Fifth Holy Grail war with a new servant, Avenger, and no memory of what happened to her beforehand. She and Avenger set off to fight and win the Holy Grail War. 
 
Meanwhile, Shirō Emiya lives a peaceful life with all of his friends from the Fifth Holy Grail War. After one of her experiments changes time and space, Rin Tohsaka leaves for the Mages' Association in England to fix things. The Servants sense a new danger while dark creatures appear soon afterward. Shirō, as a precaution, sets off to ensure nobody is in danger and instead finds himself frequently meeting a mysterious girl, Caren Ortensia. 
 
Both Bazett and Shirō find themselves in time loop that lasts four days, beginning of the fourth day of the Fifth Holy Grail War. Each time they die or survive four days, they always awake on the first day of the loop, aware of what has happened to them since the first time loop began. Determined to end the loop, Bazett, Avenger, and Shirō fight to discover the truth behind what is causing the endless four days.",2005-10-28 00:00:00.000,4,NULL,NULL,NULL,96.9715,12
118540,11270,The Cat Lady,NULL,2012-12-01 00:00:00.000,52,NULL,NULL,NULL,96.8287,98
137040,24930,OFF,NULL,2008-06-05 00:00:00.000,8,NULL,NULL,NULL,96.8100,35
164784,139403,Jungles of Maxtheria,"Play as either ""Hot Spot"" Harvey, his cousin Roxy Roks, Junior or Missy searching for the lost treasure of the infamous ""Jaxton Max"". Your quest for fortune and glory will not be easy however. This adventure is full of baddies aimed at stopping you dead in your tracks. Use knives to dig through walls, bullets to battle the baddies, grappling hooks to jump over long distances, oxygen tanks to breath under water and torches to see what lurks underground. Collect keys to get past locked doors and to open treasure chests. Avoid the quicksand, tar pits, spikes, fire pits, thumpers and other traps along the way. Few ever return from their expeditions into the deep jungles. So, if you are brave enough, the ""Jungles of Maxtheria"" awaits!",2020-10-14 00:00:00.000,NULL,NULL,NULL,NULL,96.8080,20
176352,55771,Fell Seal: Arbiter's Mark,"Centuries ago, a brutal beast of destruction rent the world asunder. In this time of need, the first Immortals came into their uncanny powers, powers so great that they succeeded in destroying the beast ravaging the land, where all else had failed.

To prevent such destruction from ever happening again, the Immortals banded together to form a Council that would enforce order and stability on a global scale, stepping in at any hint of war or chaos.

The Immortals might be vastly powerful, but they are few. Even they can't oversee all of the lands. This is why they rely upon their mortal agents, the Arbiters, to guard the land's people from the more day-to-day dangers they face. Arbiters range over the land, rooting out bandits, unruly monsters, and crooked officials; their word is law.

But one Arbiter uncovers the deepening corruption pervading her own order, and it falls to her to halt the spread of a threat as dire as the brutal beast of yore.",2019-04-30 00:00:00.000,3,1,81.5000,5,96.7631,17
140281,7406,Aquaria,"The world of Aquaria hides the secrets of creation within its depths. The currents that buffet the many diverse plants and animals that live there also carry with them stories of long lost civilizations; of love and war, change and loss. 
 
From lush, green kelp forests to dark caves, exploring will be no easy task. But the splendor of the undersea world awaits Naija... and you. 
 
Open Waters	 
CRYSTALLINE BLUE 
 
The glassy waters of the open sea let you peer far into the distance, and fish and other creatures play beneath the wide canopies of giant, undersea mushrooms. 
 
Here, ruins serve as a clue to Aquaria's long past. Will they lead Naija to the truth? 
 
The Kelp Forest	 
THE NATURAL WORLD 
 
The kelp forest teems with life. As light from above pours across the multitudes of strange plants and animals that live here, one cannot help but marvel at the dynamic landscape. 
 
But beware, its beauty belies the inherent danger inside. Careful not to lose your way. 
 
The Abyss	 
DARKNESS 
 
As you swim deeper, to where sight cannot reach, the Abyss begins to swallow you whole. The deeper waters of Aquaria have spawned legends of frightening monstrosities that lurk where few things can survive. Are they true? 
 
Beyond	 
??? 
 
What lies beyond? Are there areas deeper than the Abyss? Or as we swim ever upward, can we find the source of the light? 
 
Only those with great fortitude will come to know and understand the mysteries of Aquaria.",2007-12-07 00:00:00.000,24,NULL,75.0000,2,96.6568,34
